Marca temporal,platillo 
2/5/2024 16:07:52,fritanga
2/5/2024 16:07:52,nacatamal
2/5/2024 16:07:53,fritanga
2/5/2024 16:07:54,Baho
2/5/2024 16:07:55,nacatamal
2/5/2024 16:07:56,Quesillo
2/5/2024 16:07:56,fritanga
2/5/2024 16:07:56,Baho
2/5/2024 16:07:56,fritanga
2/5/2024 16:07:57,nacatamal
2/5/2024 16:07:57,Baho
2/5/2024 16:07:58,fritanga
2/5/2024 16:07:59,Quesillo
2/5/2024 16:07:59,enchilada
2/5/2024 16:08:01,nacatamal
2/5/2024 16:08:01,Baho
2/5/2024 16:08:01,Baho
2/5/2024 16:08:02,nacatamal
2/5/2024 16:08:03,Quesillo
2/5/2024 16:08:03,fritanga
2/5/2024 16:08:04,nacatamal
2/5/2024 16:08:05,Quesillo
2/5/2024 16:08:05,Baho
2/5/2024 16:08:07,nacatamal
2/5/2024 16:08:08,nacatamal
2/5/2024 16:08:09,Baho
2/5/2024 16:08:10,fritanga
2/5/2024 16:08:10,Baho
2/5/2024 16:08:13,nacatamal
2/5/2024 16:08:13,fritanga
2/5/2024 16:08:15,Baho
2/5/2024 16:08:15,fritanga
2/5/2024 16:08:16,nacatamal
2/5/2024 16:08:18,fritanga
2/5/2024 16:08:19,Baho
2/5/2024 16:08:20,nacatamal
2/5/2024 16:08:20,fritanga
2/5/2024 16:08:24,fritanga
2/5/2024 16:08:24,Baho
2/5/2024 16:08:24,nacatamal
2/5/2024 16:08:24,fritanga
2/5/2024 16:08:27,vigoron
2/5/2024 16:08:28,fritanga
2/5/2024 16:08:29,Baho
2/5/2024 16:08:29,Baho
2/5/2024 16:08:30,nacatamal
2/5/2024 16:08:32,Quesillo
2/5/2024 16:08:33,Baho
2/5/2024 16:08:34,indio_viejo
2/5/2024 16:08:36,indio_viejo
2/5/2024 16:08:37,nacatamal
2/5/2024 16:08:38,Baho
2/5/2024 16:08:38,indio_viejo
2/5/2024 16:08:41,nacatamal
2/5/2024 16:08:43,Baho
2/5/2024 16:08:43,fritanga
2/5/2024 16:08:44,nacatamal
2/5/2024 16:08:47,fritanga
2/5/2024 16:08:47,Baho
2/5/2024 16:08:49,nacatamal
2/5/2024 16:08:50,fritanga
2/5/2024 16:08:52,Baho
2/5/2024 16:08:54,fritanga
2/5/2024 16:08:56,fritanga
2/5/2024 16:08:57,Baho
2/5/2024 16:09:01,fritanga
2/5/2024 16:09:03,Baho
2/5/2024 16:09:04,vigoron
2/5/2024 16:09:07,fritanga
2/5/2024 16:09:09,fritanga
2/5/2024 16:09:14,fritanga
2/5/2024 16:09:17,fritanga
2/5/2024 16:09:19,fritanga
2/5/2024 16:12:54,Baho
2/5/2024 16:13:13,Baho
2/5/2024 16:13:28,Baho
2/5/2024 19:02:08,fritanga
